run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124213","all cores","aligned 16","4080",4080,14.8361,14.9729,16.0485,0.97230,1.14877,0.26202,0.08684,"tie","tie"
"20260906-124213","all cores","aligned 8","8",8,0.2500,0.2495,1.6066,1.01034,6.25982,0.26128,0.13111,"tie","we win"
"20260906-124213","all cores","aligned 8","24",24,0.3568,0.3641,1.6135,0.97281,4.47647,0.03987,0.11307,"tie","we win"
"20260906-124213","all cores","aligned 8","40",40,0.3903,0.3878,1.5528,1.02605,4.05668,0.12113,0.11631,"tie","we win"
"20260906-124213","all cores","aligned 8","56",56,0.7828,0.7842,1.1693,0.99585,1.49907,0.01746,0.04904,"tie","we win"
"20260906-124213","all cores","aligned 8","88",88,0.9828,0.9830,1.5860,1.00490,1.62597,0.05341,0.07511,"tie","we win"
"20260906-124213","all cores","aligned 8","120",120,1.3477,1.3585,1.5509,0.98963,1.15654,0.03294,0.04011,"tie","we win"
"20260906-124213","all cores","aligned 8","152",152,1.6878,1.6805,2.5272,1.00840,1.52052,0.03650,0.05870,"tie","we win"
"20260906-124213","all cores","aligned 8","248",248,2.9317,2.9178,2.5022,1.00814,0.86700,0.03748,0.03909,"tie","libc wins"
"20260906-124213","all cores","aligned 8","504",504,4.0421,4.0574,3.1033,0.99971,0.77503,0.02663,0.07232,"tie","libc wins"
"20260906-124213","all cores","aligned 8","1016",1016,5.5756,5.5579,4.5789,0.99343,0.82810,0.03369,0.06419,"tie","libc wins"
"20260906-124213","all cores","aligned 8","4088",4088,15.6396,15.5430,15.6576,1.01213,1.02339,0.05846,0.04579,"tie","tie"
"20260906-124213","all cores","natural (control)","1",1,0.1910,0.1907,1.9311,1.00524,10.20992,0.03537,0.04495,"tie","we win"
"20260906-124213","all cores","natural (control)","3",3,0.3232,0.3361,1.5541,0.98433,4.71516,0.14998,0.17769,"tie","we win"
"20260906-124213","all cores","natural (control)","7",7,0.3086,0.3083,1.7277,1.00075,5.65562,0.02687,0.04776,"tie","we win"
"20260906-124213","all cores","natural (control)","8",8,0.2342,0.2341,1.7350,0.99758,7.51396,0.03489,0.03916,"tie","we win"
"20260906-124213","all cores","natural (control)","9",9,0.3055,0.3056,1.7386,0.99569,5.69209,0.04253,0.05116,"tie","we win"
"20260906-124213","all cores","natural (control)","15",15,0.3081,0.3127,1.7315,0.98559,5.62017,0.04290,0.04081,"tie","we win"
"20260906-124213","all cores","natural (control)","16",16,0.3476,0.3484,1.6969,1.00219,4.94595,0.06550,0.06254,"tie","we win"
"20260906-124213","all cores","natural (control)","17",17,0.4133,0.4184,1.7354,0.99239,4.26187,0.05719,0.11176,"tie","we win"
"20260906-124213","all cores","natural (control)","24",24,0.4122,0.4141,1.6787,0.99242,4.14172,0.03098,0.12787,"tie","we win"
"20260906-124213","all cores","natural (control)","31",31,0.3437,0.3460,1.5498,0.99355,4.57509,0.05734,0.04854,"tie","we win"
"20260906-124213","all cores","natural (control)","32",32,0.3507,0.3537,1.1671,0.98107,3.36588,0.05969,0.07820,"tie","we win"
"20260906-124213","all cores","natural (control)","33",33,0.4231,0.4241,1.5517,1.00172,3.71465,0.04308,0.04354,"tie","we win"
"20260906-124213","all cores","natural (control)","47",47,0.5868,0.5879,1.1800,0.99774,2.01742,0.02582,0.06081,"tie","we win"
"20260906-124213","all cores","natural (control)","50",50,0.7888,0.7883,1.1911,0.99806,1.51069,0.02478,0.06721,"tie","we win"
"20260906-124213","all cores","natural (control)","63",63,0.7674,0.7650,1.1612,1.00861,1.52381,0.03251,0.02221,"tie","we win"
"20260906-124213","all cores","natural (control)","64",64,0.7701,0.7684,1.3247,0.99970,1.76258,0.06314,0.14304,"tie","we win"
"20260906-124213","all cores","natural (control)","65",65,0.9572,0.9582,1.5085,1.00349,1.59647,0.03066,0.06818,"tie","we win"
"20260906-124213","all cores","natural (control)","100",100,1.3458,1.3476,1.6847,0.99562,1.26982,0.06012,0.04685,"tie","we win"
"20260906-124213","all cores","natural (control)","127",127,1.5550,1.5616,1.5678,0.99792,1.01942,0.07012,0.05243,"tie","tie"
"20260906-124213","all cores","natural (control)","128",128,1.5622,1.5505,1.7137,1.00392,1.11441,0.03404,0.06594,"tie","we win"
"20260906-124213","all cores","natural (control)","129",129,1.6797,1.6871,2.5038,0.99968,1.50328,0.05224,0.06563,"tie","we win"
"20260906-124213","all cores","natural (control)","200",200,2.7458,2.7364,2.4934,1.00125,0.91195,0.02823,0.03472,"tie","libc wins"
"20260906-124213","all cores","natural (control)","250",250,2.9715,2.9456,2.5193,1.01506,0.86684,0.06401,0.08059,"tie","libc wins"
"20260906-124213","all cores","natural (control)","255",255,2.9437,2.9205,2.5169,1.00357,0.86793,0.05728,0.06790,"tie","libc wins"
"20260906-124213","all cores","natural (control)","256",256,3.1774,3.1626,2.5633,1.00480,0.82171,0.03856,0.05976,"tie","libc wins"
"20260906-124213","all cores","natural (control)","257",257,3.0758,3.0961,2.4075,0.99332,0.81242,0.06582,0.13128,"tie","libc wins"
"20260906-124213","all cores","natural (control)","500",500,4.1266,4.1151,3.5610,1.00364,0.87820,0.05800,0.07766,"tie","libc wins"
"20260906-124213","all cores","natural (control)","1000",1000,5.4808,5.5256,4.7491,1.00687,0.88479,0.07525,0.09796,"tie","libc wins"
"20260906-124213","all cores","natural (control)","1023",1023,5.8352,5.8130,4.5655,0.99763,0.79091,0.04693,0.06664,"tie","libc wins"
"20260906-124213","all cores","natural (control)","1K",1024,5.8300,5.7858,4.7824,1.00453,0.83417,0.05154,0.07570,"tie","libc wins"
"20260906-124213","all cores","natural (control)","1025",1025,5.7269,5.7602,4.8217,0.98821,0.86399,0.05208,0.10536,"tie","libc wins"
"20260906-124213","all cores","natural (control)","2047",2047,9.1006,9.0703,9.0319,1.00685,1.00705,0.06944,0.05508,"tie","tie"
"20260906-124213","all cores","natural (control)","4095",4095,15.6497,15.7764,15.9733,1.00074,1.02593,0.05317,0.04482,"tie","tie"
"20260906-124213","all cores","natural (control)","4K",4096,15.6781,15.7725,15.6896,1.00076,1.01046,0.06189,0.04661,"tie","tie"
"20260906-124213","all cores","natural (control)","4097",4097,15.4877,15.3758,15.9723,1.00130,1.04784,0.02609,0.07937,"tie","we win"
"20260906-124213","all cores","scattered","32",32,11.8659,12.0199,14.1804,0.97773,1.31120,0.16328,0.42918,"tie","we win"
"20260906-124213","all cores","scattered","64",64,11.3279,11.4553,12.3467,0.98499,1.17439,0.23738,0.36022,"tie","tie"
"20260906-124213","all cores","scattered","96",96,12.6403,12.6408,14.2065,1.02433,1.21199,0.23682,0.22756,"tie","tie"
"20260906-124213","all cores","scattered","128",128,13.5007,13.4390,14.4548,1.02046,1.18549,0.20567,0.16312,"tie","tie"
"20260906-124213","all cores","scattered","160",160,16.2456,14.7749,16.1778,1.11408,1.12653,0.15907,0.25875,"tie","tie"
"20260906-124213","all cores","scattered","192",192,17.9337,16.2279,16.5367,1.12315,1.05919,0.17535,0.25793,"tie","tie"
"20260906-124213","all cores","scattered","224",224,21.1928,19.0280,18.5642,1.14708,0.98680,0.13719,0.20131,"C++ wins","tie"
"20260906-124213","all cores","scattered","256",256,21.0795,20.0006,19.0574,1.06439,0.95722,0.14605,0.14983,"tie","tie"
"20260906-124213","all cores","scattered","288",288,28.2352,26.8322,27.5188,1.05459,1.04802,0.13970,0.35138,"tie","tie"
"20260906-124213","all cores","scattered","320",320,30.7110,27.9213,28.7952,1.11812,1.04746,0.18840,0.26830,"tie","tie"
"20260906-124213","all cores","scattered","384",384,32.1417,32.9498,31.5750,0.96718,0.99569,0.15500,0.23127,"tie","tie"
"20260906-124213","all cores","scattered","448",448,36.4662,34.7007,33.8122,1.05922,1.01079,0.13647,0.26827,"tie","tie"
"20260906-124213","all cores","scattered","512",512,33.7750,34.2665,35.0405,0.94118,1.06759,0.14634,0.24926,"tie","tie"
"20260906-124213","all cores","scattered","576",576,38.5705,38.0020,37.3182,1.00678,1.02042,0.14438,0.16751,"tie","tie"
"20260906-124213","all cores","scattered","768",768,44.1315,45.8803,45.0407,0.98841,1.04899,0.12535,0.13093,"tie","tie"
"20260906-124213","all cores","scattered","1K",1024,57.2767,56.4978,56.8553,1.01760,1.01680,0.10467,0.15795,"tie","tie"
"20260906-124213","all cores","scattered","1536",1536,83.2140,83.1800,83.5597,1.00566,1.04626,0.10493,0.13984,"tie","tie"
"20260906-124213","all cores","scattered","2K",2048,118.5120,117.5305,102.7293,1.02370,0.87368,0.08972,0.15204,"tie","libc wins"
"20260906-124213","all cores","scattered","3K",3072,148.3295,149.0418,151.6205,1.00405,1.05776,0.13823,0.15338,"tie","tie"
"20260906-124213","all cores","scattered","4K",4096,193.0913,189.2450,187.8020,1.01402,1.01631,0.10038,0.14647,"tie","tie"
"20260906-124213","all cores","scattered","8K",8192,407.7933,403.8233,409.7550,1.02531,1.03513,0.10271,0.22491,"tie","tie"
"20260906-124213","all cores","scattered","16K",16384,704.1817,687.7767,691.7983,1.02001,1.04729,0.16656,0.19204,"tie","tie"
"20260906-124213","all cores","scattered","64K",65536,2383.4133,2415.9550,2437.1967,0.98842,1.02422,0.06083,0.10625,"tie","tie"
"20260906-124213","all cores","by declared alignment","256 @32",256,2.5744,1.7600,1.7055,1.45347,0.97005,0.04916,0.06102,"C++ wins","tie"
"20260906-124213","all cores","by declared alignment","256 @16",256,2.5701,1.7453,2.5016,1.45514,1.43497,0.06198,0.05768,"C++ wins","we win"
"20260906-124213","all cores","by declared alignment","256 @8",256,2.5240,2.5494,2.5124,0.98365,1.00206,0.05968,0.04607,"tie","tie"
"20260906-124213","all cores","by declared alignment","256 @1",256,2.5439,2.5641,2.5329,0.99463,1.00915,0.03895,0.05469,"tie","tie"
"20260906-124213","all cores","by declared alignment","1024 @32",1024,4.2608,4.8127,4.8050,0.88791,1.13979,0.05515,0.04543,"C++ LOSES","we win"
"20260906-124213","all cores","by declared alignment","1024 @16",1024,5.8273,5.8981,4.7390,0.99176,0.82468,0.05961,0.08433,"tie","libc wins"
"20260906-124213","all cores","by declared alignment","1024 @8",1024,5.8798,5.8807,4.7548,0.99442,0.81808,0.05364,0.07669,"tie","libc wins"
"20260906-124213","all cores","by declared alignment","1024 @1",1024,5.8506,5.8774,4.7285,1.00723,0.82127,0.07455,0.07911,"tie","libc wins"
"20260906-124213","all cores","by declared alignment","4096 @32",4096,15.7551,15.6294,15.7125,1.00724,1.01988,0.05351,0.04473,"tie","tie"
"20260906-124213","all cores","by declared alignment","4096 @16",4096,15.6755,15.6703,15.6230,0.99502,1.00496,0.06524,0.04724,"tie","tie"
"20260906-124213","all cores","by declared alignment","4096 @8",4096,15.5806,15.6966,15.6549,0.98828,1.01869,0.05901,0.03993,"tie","tie"
"20260906-124213","all cores","by declared alignment","4096 @1",4096,15.6095,15.7907,15.8317,0.98746,1.03199,0.04660,0.05836,"tie","tie"
"20260906-124213","all cores","by address offset","256 +0",256,2.5762,2.5515,2.4966,1.00556,0.98934,0.05506,0.04835,"tie","tie"
"20260906-124213","all cores","by address offset","256 +1",256,3.0985,3.1251,2.5349,0.99098,0.83310,0.05868,0.04995,"tie","libc wins"
"20260906-124213","all cores","by address offset","256 +2",256,3.1418,3.1399,2.5005,0.99975,0.81008,0.05609,0.05354,"tie","libc wins"
"20260906-124213","all cores","by address offset","256 +4",256,3.1331,3.1301,2.5248,0.99924,0.81082,0.04800,0.05495,"tie","libc wins"
"20260906-124213","all cores","by address offset","256 +8",256,2.9544,2.9383,2.4919,1.00258,0.85288,0.06344,0.05553,"tie","libc wins"
"20260906-124213","all cores","by address offset","256 +15",256,2.9754,2.9403,2.5067,1.01015,0.85667,0.04647,0.06157,"tie","libc wins"
"20260906-124213","all cores","by address offset","256 +16",256,2.5355,2.5252,1.6931,1.00111,0.69131,0.06673,0.09834,"tie","libc wins"
"20260906-124213","all cores","by address offset","256 +31",256,2.9127,2.9257,2.4973,1.00592,0.86363,0.06165,0.04605,"tie","libc wins"
"20260906-124213","all cores","by address offset","4096 +0",4096,15.5157,15.5459,15.5015,0.99978,1.00994,0.05031,0.03221,"tie","tie"
"20260906-124213","all cores","by address offset","4096 +1",4096,15.6266,15.5519,15.5731,0.99630,1.01481,0.03851,0.03156,"tie","tie"
"20260906-124213","all cores","by address offset","4096 +2",4096,15.7602,15.7803,15.8709,1.00184,1.01519,0.04969,0.04720,"tie","tie"
"20260906-124213","all cores","by address offset","4096 +4",4096,15.5820,15.5632,15.5301,1.00431,1.01010,0.07398,0.04273,"tie","tie"
"20260906-124213","all cores","by address offset","4096 +8",4096,15.6523,15.7452,15.6950,0.99833,1.01907,0.07643,0.03663,"tie","tie"
"20260906-124213","all cores","by address offset","4096 +15",4096,15.6052,15.6733,15.6357,0.99788,1.01367,0.06174,0.04719,"tie","tie"
"20260906-124213","all cores","by address offset","4096 +16",4096,15.6295,15.4693,15.6437,1.01598,1.02026,0.03850,0.03665,"tie","tie"
"20260906-124213","all cores","by address offset","4096 +31",4096,15.7187,15.6895,15.7586,1.01066,1.03210,0.10326,0.05351,"tie","tie"
