run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124309","all cores","aligned 16","2032",2032,6.4189,6.3756,7.2017,1.00094,1.13872,0.03189,0.04487,"tie","we win"
"20260906-124309","all cores","aligned 16","4080",4080,12.6755,12.7390,14.6787,0.99581,1.17002,0.06690,0.06070,"tie","we win"
"20260906-124309","all cores","aligned 8","8",8,0.2397,0.2390,1.7372,0.96623,7.42873,0.40829,0.13559,"tie","we win"
"20260906-124309","all cores","aligned 8","24",24,0.3920,0.3928,1.5418,1.00207,3.98963,0.03643,0.08623,"tie","we win"
"20260906-124309","all cores","aligned 8","40",40,0.4885,0.4847,1.3665,1.00688,2.82368,0.03431,0.04869,"tie","we win"
"20260906-124309","all cores","aligned 8","56",56,0.7652,0.7662,1.5400,0.99936,2.01157,0.02142,0.03774,"tie","we win"
"20260906-124309","all cores","aligned 8","88",88,0.9681,0.9643,1.7465,0.99931,1.84001,0.03564,0.09128,"tie","we win"
"20260906-124309","all cores","aligned 8","120",120,1.3650,1.3576,1.5633,1.00649,1.16437,0.06866,0.07418,"tie","we win"
"20260906-124309","all cores","aligned 8","152",152,1.5320,1.5333,2.5090,0.99544,1.65778,0.04914,0.03354,"tie","we win"
"20260906-124309","all cores","aligned 8","248",248,8.3832,8.3715,2.4894,1.00584,0.30420,0.04964,0.03833,"tie","libc wins"
"20260906-124309","all cores","aligned 8","504",504,8.7814,8.8189,3.6485,0.99339,0.41753,0.03866,0.02927,"tie","libc wins"
"20260906-124309","all cores","aligned 8","1016",1016,3.8362,3.8434,5.7349,0.99861,1.50197,0.01961,0.02837,"tie","we win"
"20260906-124309","all cores","aligned 8","4088",4088,12.7125,12.6680,15.6227,1.01427,1.24977,0.08218,0.05871,"tie","we win"
"20260906-124309","all cores","non-zero byte","32",32,0.2382,0.2400,1.1663,0.99351,4.96182,0.05334,0.04524,"tie","we win"
"20260906-124309","all cores","non-zero byte","64",64,0.3856,0.3833,1.5611,1.00027,4.08852,0.06377,0.06527,"tie","we win"
"20260906-124309","all cores","non-zero byte","96",96,0.5709,0.5740,1.6867,0.99317,2.97712,0.05575,0.04757,"tie","we win"
"20260906-124309","all cores","non-zero byte","128",128,0.7633,0.7635,1.6268,0.99917,2.17613,0.06200,0.05153,"tie","we win"
"20260906-124309","all cores","non-zero byte","160",160,1.4811,0.9612,1.6930,1.53901,1.77632,0.05143,0.07935,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","192",192,1.9465,1.1921,1.7319,1.62977,1.46810,0.07305,0.06281,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","224",224,2.1594,1.3899,1.5508,1.55146,1.12062,0.02007,0.05715,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","256",256,1.9337,1.5511,1.7088,1.24172,1.09499,0.06343,0.07395,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","288",288,1.9403,1.7539,1.7436,1.10525,0.99574,0.01895,0.04707,"C++ wins","tie"
"20260906-124309","all cores","non-zero byte","320",320,2.1178,1.9240,1.7291,1.10626,0.89865,0.02351,0.02882,"C++ wins","libc wins"
"20260906-124309","all cores","non-zero byte","384",384,2.4102,2.4224,1.8181,1.01031,0.76413,0.09528,0.06652,"tie","libc wins"
"20260906-124309","all cores","non-zero byte","448",448,2.6913,2.7065,2.1258,0.99136,0.79349,0.03578,0.04505,"tie","libc wins"
"20260906-124309","all cores","non-zero byte","512",512,2.5239,2.5017,1.9293,1.00772,0.77845,0.05267,0.04876,"tie","libc wins"
"20260906-124309","all cores","non-zero byte","576",576,3.1264,3.1743,2.6626,1.00017,0.85038,0.16442,0.09479,"tie","tie"
"20260906-124309","all cores","non-zero byte","768",768,2.9059,2.9043,2.7377,0.99415,0.95593,0.04689,0.05858,"tie","tie"
"20260906-124309","all cores","non-zero byte","1K",1024,3.5857,3.5742,3.5764,1.00625,1.01964,0.09435,0.05825,"tie","tie"
"20260906-124309","all cores","non-zero byte","1536",1536,5.0480,5.0644,5.0364,0.99919,0.99991,0.03038,0.05514,"tie","tie"
"20260906-124309","all cores","non-zero byte","2K",2048,6.5749,6.6253,6.6142,0.99167,1.02020,0.06597,0.05275,"tie","tie"
"20260906-124309","all cores","non-zero byte","3K",3072,9.6422,9.5897,14.0122,0.99779,1.47792,0.06112,0.04647,"tie","we win"
"20260906-124309","all cores","non-zero byte","4K",4096,15.1688,15.1070,15.5479,1.00938,1.04858,0.07609,0.05086,"tie","tie"
"20260906-124309","all cores","non-zero byte","8K",8192,102.4967,101.7971,102.6402,1.00350,1.01972,0.04842,0.05054,"tie","tie"
"20260906-124309","all cores","non-zero byte","16K",16384,201.2615,201.1146,200.3223,0.99838,1.00703,0.04332,0.02907,"tie","tie"
"20260906-124309","all cores","non-zero byte","64K",65536,799.6273,803.3208,803.6056,0.99382,1.01403,0.04095,0.04740,"tie","tie"
"20260906-124309","all cores","natural (control)","1",1,0.2291,0.2303,1.5577,0.99612,6.84663,0.05626,0.06361,"tie","we win"
"20260906-124309","all cores","natural (control)","3",3,0.3060,0.3040,1.6973,1.00325,5.59453,0.02631,0.03347,"tie","we win"
"20260906-124309","all cores","natural (control)","7",7,0.2420,0.2454,1.6044,0.98607,6.68376,0.41424,0.16199,"tie","we win"
"20260906-124309","all cores","natural (control)","8",8,0.2341,0.2345,1.5558,0.99928,6.69599,0.03879,0.06033,"tie","we win"
"20260906-124309","all cores","natural (control)","9",9,0.2342,0.2348,1.6920,0.99522,7.26342,0.05269,0.05817,"tie","we win"
"20260906-124309","all cores","natural (control)","15",15,0.3829,0.3834,1.6772,0.99840,4.46057,0.04326,0.04950,"tie","we win"
"20260906-124309","all cores","natural (control)","16",16,0.3024,0.2912,1.5090,1.08239,5.26189,0.28900,0.18505,"tie","we win"
"20260906-124309","all cores","natural (control)","17",17,0.4769,0.4762,1.6965,0.99999,3.62540,0.04207,0.05418,"tie","we win"
"20260906-124309","all cores","natural (control)","24",24,0.4833,0.4834,1.6967,0.99954,3.55927,0.04013,0.06621,"tie","we win"
"20260906-124309","all cores","natural (control)","31",31,0.3818,0.3808,1.6321,1.00343,4.39030,0.04471,0.10939,"tie","we win"
"20260906-124309","all cores","natural (control)","32",32,0.3810,0.3816,1.1488,0.99704,3.03143,0.03978,0.02871,"tie","we win"
"20260906-124309","all cores","natural (control)","33",33,0.6211,0.6208,1.1542,1.00075,1.88932,0.05325,0.03369,"tie","we win"
"20260906-124309","all cores","natural (control)","47",47,0.5725,0.5749,1.3373,1.00410,2.35800,0.05160,0.02107,"tie","we win"
"20260906-124309","all cores","natural (control)","50",50,0.7728,0.7747,1.3607,0.99813,1.77139,0.03140,0.04255,"tie","we win"
"20260906-124309","all cores","natural (control)","63",63,0.7698,0.7689,1.3427,1.00153,1.75870,0.03633,0.03831,"tie","we win"
"20260906-124309","all cores","natural (control)","64",64,0.7668,0.7650,1.3414,1.00492,1.77139,0.04141,0.03153,"tie","we win"
"20260906-124309","all cores","natural (control)","65",65,0.9847,0.9558,1.7207,1.03015,1.81877,0.04247,0.06045,"tie","we win"
"20260906-124309","all cores","natural (control)","100",100,1.1610,1.1500,1.6788,1.00965,1.48132,0.03961,0.05796,"tie","we win"
"20260906-124309","all cores","natural (control)","127",127,1.5292,1.5359,1.6464,0.99331,1.09870,0.04846,0.07702,"tie","we win"
"20260906-124309","all cores","natural (control)","128",128,1.5427,1.5402,1.6938,1.00074,1.12458,0.05078,0.07812,"tie","we win"
"20260906-124309","all cores","natural (control)","129",129,1.2462,1.2460,2.4937,1.00089,2.01533,0.03316,0.02985,"tie","we win"
"20260906-124309","all cores","natural (control)","200",200,2.9213,2.9071,2.5076,1.00481,0.87347,0.04482,0.03852,"tie","libc wins"
"20260906-124309","all cores","natural (control)","250",250,8.4521,8.5553,2.5100,0.98521,0.29893,0.03789,0.04212,"tie","libc wins"
"20260906-124309","all cores","natural (control)","255",255,2.1578,2.0826,2.5011,1.03133,1.20297,0.18961,0.11011,"tie","we win"
"20260906-124309","all cores","natural (control)","256",256,3.1400,3.0996,2.5394,1.01674,0.83570,0.06073,0.05873,"tie","libc wins"
"20260906-124309","all cores","natural (control)","257",257,3.1484,3.1451,2.9557,1.01122,0.94292,0.04479,0.05756,"tie","libc wins"
"20260906-124309","all cores","natural (control)","500",500,8.7053,8.7256,3.6516,0.99823,0.42408,0.04859,0.04477,"tie","libc wins"
"20260906-124309","all cores","natural (control)","1000",1000,3.7804,3.7586,5.4289,1.00675,1.45128,0.04435,0.06502,"tie","we win"
"20260906-124309","all cores","natural (control)","1023",1023,4.0433,4.0440,5.7450,0.99655,1.43199,0.03098,0.04238,"tie","we win"
"20260906-124309","all cores","natural (control)","1K",1024,4.0519,4.0515,5.7590,0.99517,1.42938,0.02201,0.04011,"tie","we win"
"20260906-124309","all cores","natural (control)","1025",1025,3.8277,3.8406,5.7512,0.99424,1.52898,0.05991,0.03004,"tie","we win"
"20260906-124309","all cores","natural (control)","2047",2047,6.6908,6.6927,8.8101,0.99757,1.33092,0.04175,0.04541,"tie","we win"
"20260906-124309","all cores","natural (control)","4095",4095,12.9794,12.9239,15.5107,0.99645,1.21206,0.05813,0.04156,"tie","we win"
"20260906-124309","all cores","natural (control)","4K",4096,15.1207,15.0697,15.5128,1.00473,1.03460,0.04050,0.03862,"tie","tie"
"20260906-124309","all cores","natural (control)","4097",4097,15.0369,14.9963,15.4763,1.00297,1.04189,0.03022,0.05270,"tie","we win"
"20260906-124309","all cores","scattered","32",32,5.6272,5.5939,6.2995,1.02450,1.15053,0.08424,0.11067,"tie","we win"
"20260906-124309","all cores","scattered","64",64,5.4723,5.5008,5.9377,0.97188,1.11252,0.10973,0.15780,"tie","we win"
"20260906-124309","all cores","scattered","96",96,6.4090,6.5644,7.6664,0.98651,1.19776,0.13981,0.18922,"tie","we win"
"20260906-124309","all cores","scattered","128",128,7.2741,7.3842,7.6655,0.98748,1.08962,0.10247,0.13354,"tie","tie"
"20260906-124309","all cores","scattered","160",160,13.2698,8.3534,10.2045,1.63355,1.23186,0.11786,0.23634,"C++ wins","we win"
"20260906-124309","all cores","scattered","192",192,12.2743,12.1168,10.8249,1.00375,0.95896,0.27825,0.21937,"tie","tie"
"20260906-124309","all cores","scattered","224",224,14.7328,13.3592,10.6335,1.13630,0.78984,0.13908,0.16417,"tie","libc wins"
"20260906-124309","all cores","scattered","256",256,14.5181,14.2606,11.5265,1.01590,0.82165,0.16718,0.17573,"tie","libc wins"
"20260906-124309","all cores","scattered","288",288,23.9200,21.9318,19.0542,1.08403,0.88932,0.12023,0.12770,"tie","tie"
"20260906-124309","all cores","scattered","320",320,23.5868,23.7105,20.0715,0.99964,0.84716,0.09968,0.14515,"tie","libc wins"
"20260906-124309","all cores","scattered","384",384,26.9868,26.8818,21.2180,0.99034,0.80813,0.08640,0.13919,"tie","libc wins"
"20260906-124309","all cores","scattered","448",448,29.6432,28.6335,24.3095,1.03044,0.83855,0.13642,0.19238,"tie","libc wins"
"20260906-124309","all cores","scattered","512",512,25.4047,25.5398,24.7873,1.00913,1.00906,0.08999,0.15615,"tie","tie"
"20260906-124309","all cores","scattered","576",576,27.0930,27.4787,27.6167,0.99908,1.04786,0.13295,0.17175,"tie","tie"
"20260906-124309","all cores","scattered","768",768,32.0202,31.8868,31.0048,1.00424,0.97919,0.08225,0.13941,"tie","tie"
"20260906-124309","all cores","scattered","1K",1024,39.0887,38.6188,38.5533,1.00691,1.01901,0.07242,0.10579,"tie","tie"
"20260906-124309","all cores","scattered","1536",1536,53.3127,52.6673,52.1363,1.00659,1.00877,0.07717,0.08757,"tie","tie"
"20260906-124309","all cores","scattered","2K",2048,63.9600,63.7505,64.1753,1.00698,1.03074,0.06904,0.10230,"tie","tie"
"20260906-124309","all cores","scattered","3K",3072,89.1618,89.8542,112.6895,0.99962,1.35638,0.16176,0.18227,"tie","we win"
"20260906-124309","all cores","scattered","4K",4096,129.7408,126.3693,124.3932,1.03273,1.01165,0.22121,0.23803,"tie","tie"
"20260906-124309","all cores","scattered","8K",8192,327.8167,321.7217,324.2267,0.99870,1.03713,0.09062,0.12801,"tie","tie"
"20260906-124309","all cores","scattered","16K",16384,491.8550,503.5867,508.5150,0.98557,1.03317,0.10713,0.11888,"tie","tie"
"20260906-124309","all cores","scattered","64K",65536,1459.9300,1464.0033,1490.7500,1.00509,1.05737,0.11592,0.09546,"tie","tie"
"20260906-124309","all cores","by declared alignment","256 @32",256,1.9294,1.5539,1.6988,1.24153,1.10427,0.07003,0.10353,"C++ wins","we win"
"20260906-124309","all cores","by declared alignment","256 @16",256,1.9342,1.7377,2.4973,1.11713,1.43554,0.04161,0.04014,"C++ wins","we win"
"20260906-124309","all cores","by declared alignment","256 @8",256,1.9215,1.9202,2.5147,0.99575,1.31690,0.04508,0.03512,"tie","we win"
"20260906-124309","all cores","by declared alignment","256 @1",256,2.1952,2.2206,2.5231,0.99630,1.15427,0.06418,0.07512,"tie","we win"
"20260906-124309","all cores","by declared alignment","1024 @32",1024,3.4305,3.4427,3.4430,1.00020,1.00586,0.03860,0.03452,"tie","tie"
"20260906-124309","all cores","by declared alignment","1024 @16",1024,3.8494,4.0060,5.7040,0.96782,1.47281,0.06993,0.03770,"tie","we win"
"20260906-124309","all cores","by declared alignment","1024 @8",1024,4.0202,4.0360,5.7516,0.99765,1.44023,0.03092,0.02724,"tie","we win"
"20260906-124309","all cores","by declared alignment","1024 @1",1024,3.9458,3.9389,5.7290,1.00498,1.46118,0.03282,0.06201,"tie","we win"
"20260906-124309","all cores","by declared alignment","4096 @32",4096,15.0647,14.9878,15.4778,1.00422,1.04520,0.05190,0.02973,"tie","tie"
"20260906-124309","all cores","by declared alignment","4096 @16",4096,15.0870,15.1096,15.5813,0.99013,1.04955,0.06421,0.04231,"tie","tie"
"20260906-124309","all cores","by declared alignment","4096 @8",4096,15.3037,15.3904,15.7416,0.99693,1.04379,0.05085,0.06214,"tie","tie"
"20260906-124309","all cores","by declared alignment","4096 @1",4096,15.0020,15.1084,15.4383,0.99220,1.03785,0.03268,0.02903,"tie","we win"
"20260906-124309","all cores","by address offset","256 +0",256,2.2402,2.2204,2.5054,0.99787,1.14001,0.05849,0.06724,"tie","we win"
"20260906-124309","all cores","by address offset","256 +1",256,3.0962,3.1202,2.5069,0.99813,0.82142,0.07932,0.04403,"tie","libc wins"
"20260906-124309","all cores","by address offset","256 +2",256,3.0801,3.0824,2.4969,1.00217,0.81889,0.05194,0.02740,"tie","libc wins"
"20260906-124309","all cores","by address offset","256 +4",256,3.0662,3.0903,2.5008,0.97854,0.82334,0.06088,0.04909,"tie","libc wins"
"20260906-124309","all cores","by address offset","256 +8",256,3.1052,3.0939,2.5088,0.99390,0.82806,0.07001,0.04965,"tie","libc wins"
"20260906-124309","all cores","by address offset","256 +15",256,3.0933,3.0915,2.5163,0.99694,0.82114,0.04920,0.03526,"tie","libc wins"
"20260906-124309","all cores","by address offset","256 +16",256,1.9395,1.9398,1.5213,1.01231,0.79093,0.05740,0.05790,"tie","libc wins"
"20260906-124309","all cores","by address offset","256 +31",256,3.0718,3.0904,2.5080,0.98899,0.82643,0.05554,0.05749,"tie","libc wins"
"20260906-124309","all cores","by address offset","4096 +0",4096,15.1489,15.1125,15.4726,1.00452,1.03952,0.04474,0.03358,"tie","tie"
"20260906-124309","all cores","by address offset","4096 +1",4096,15.0177,15.0289,15.6119,1.00039,1.05458,0.03872,0.03589,"tie","we win"
"20260906-124309","all cores","by address offset","4096 +2",4096,15.1369,15.2261,15.6941,0.99923,1.05006,0.04811,0.04021,"tie","we win"
"20260906-124309","all cores","by address offset","4096 +4",4096,15.2257,15.2149,15.6398,0.99663,1.05554,0.08122,0.05052,"tie","tie"
"20260906-124309","all cores","by address offset","4096 +8",4096,15.0544,15.0534,15.5174,1.00091,1.04257,0.04543,0.02596,"tie","tie"
"20260906-124309","all cores","by address offset","4096 +15",4096,15.1732,15.2223,15.6403,0.99496,1.04371,0.04511,0.03592,"tie","tie"
"20260906-124309","all cores","by address offset","4096 +16",4096,15.0845,15.1523,15.5783,1.00783,1.04005,0.05069,0.03846,"tie","tie"
"20260906-124309","all cores","by address offset","4096 +31",4096,15.1695,15.2286,15.5399,0.99759,1.03830,0.03423,0.04099,"tie","we win"
