run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124502","all cores","aligned 16","2032",2032,6.5321,6.5026,7.2982,1.00172,1.12784,0.06789,0.06436,"tie","we win"
"20260906-124502","all cores","aligned 16","4080",4080,13.2694,13.2264,15.8285,1.00865,1.24523,0.14575,0.12767,"tie","we win"
"20260906-124502","all cores","aligned 8","8",8,0.2335,0.2412,1.5939,0.96215,6.82234,0.14426,0.11715,"tie","we win"
"20260906-124502","all cores","aligned 8","24",24,0.2982,0.3022,1.7901,0.99851,6.06069,0.06045,0.12548,"tie","we win"
"20260906-124502","all cores","aligned 8","40",40,0.3963,0.3964,1.4089,1.00109,3.68208,0.17441,0.12610,"tie","we win"
"20260906-124502","all cores","aligned 8","56",56,0.6011,0.6010,1.3829,1.00376,2.32388,0.04930,0.07565,"tie","we win"
"20260906-124502","all cores","aligned 8","88",88,0.7878,0.7847,1.7793,1.00050,2.35188,0.11136,0.18711,"tie","we win"
"20260906-124502","all cores","aligned 8","120",120,1.0199,1.0078,1.5996,1.01221,1.59458,0.05034,0.10249,"tie","we win"
"20260906-124502","all cores","aligned 8","152",152,1.1968,1.1872,2.5428,1.01331,2.18001,0.05976,0.07308,"tie","we win"
"20260906-124502","all cores","aligned 8","248",248,1.7739,1.8123,2.6270,0.98816,1.48226,0.08059,0.10814,"tie","we win"
"20260906-124502","all cores","aligned 8","504",504,3.4115,3.4012,3.7891,0.99930,1.12428,0.02755,0.09448,"tie","we win"
"20260906-124502","all cores","aligned 8","1016",1016,3.5145,3.5275,5.9134,0.99808,1.70525,0.09592,0.08212,"tie","we win"
"20260906-124502","all cores","aligned 8","4088",4088,15.6821,15.6827,16.0806,1.01267,1.07276,0.18695,0.33057,"tie","tie"
"20260906-124502","all cores","non-zero byte","32",32,0.2471,0.2459,1.3888,1.00377,5.75384,0.05909,0.12236,"tie","we win"
"20260906-124502","all cores","non-zero byte","64",64,0.3955,0.3951,1.4071,1.00009,3.62500,0.07725,0.11856,"tie","we win"
"20260906-124502","all cores","non-zero byte","96",96,0.5859,0.5870,1.6914,1.00252,2.90694,0.08872,0.07447,"tie","we win"
"20260906-124502","all cores","non-zero byte","128",128,0.7887,0.7815,1.6771,1.00870,2.13679,0.06877,0.06619,"tie","we win"
"20260906-124502","all cores","non-zero byte","160",160,1.6607,1.1358,1.7937,1.46576,1.59084,0.08478,0.08312,"C++ wins","we win"
"20260906-124502","all cores","non-zero byte","192",192,1.4423,1.2168,1.7932,1.18262,1.45870,0.08732,0.09532,"C++ wins","we win"
"20260906-124502","all cores","non-zero byte","224",224,1.8300,1.4271,1.7722,1.28553,1.23218,0.13878,0.12611,"C++ wins","we win"
"20260906-124502","all cores","non-zero byte","256",256,1.9149,1.6443,1.6485,1.19057,1.00444,0.08978,0.08594,"C++ wins","tie"
"20260906-124502","all cores","non-zero byte","288",288,2.0378,1.9400,1.8332,1.04160,0.94158,0.17962,0.20868,"tie","tie"
"20260906-124502","all cores","non-zero byte","320",320,3.4554,3.4826,2.6724,0.99651,0.77493,0.02100,0.02292,"tie","libc wins"
"20260906-124502","all cores","non-zero byte","384",384,2.4270,2.4140,1.9842,1.00575,0.82598,0.02180,0.07057,"tie","libc wins"
"20260906-124502","all cores","non-zero byte","448",448,3.0254,2.7147,2.3634,1.12925,0.86914,0.06643,0.05133,"C++ wins","libc wins"
"20260906-124502","all cores","non-zero byte","512",512,3.1451,3.1509,3.0229,0.99895,0.97476,0.04380,0.06706,"tie","tie"
"20260906-124502","all cores","non-zero byte","576",576,2.4023,2.3931,2.5768,1.00091,1.08351,0.02665,0.05614,"tie","we win"
"20260906-124502","all cores","non-zero byte","768",768,3.5608,3.1135,2.7024,1.13101,0.81537,0.19295,0.22407,"tie","tie"
"20260906-124502","all cores","non-zero byte","1K",1024,3.7276,3.7034,3.7375,1.00488,1.02926,0.09497,0.14497,"tie","tie"
"20260906-124502","all cores","non-zero byte","1536",1536,5.1372,5.2167,5.1711,0.99796,1.00359,0.01786,0.10269,"tie","tie"
"20260906-124502","all cores","non-zero byte","2K",2048,6.6285,6.6336,6.7225,1.00161,1.02447,0.08054,0.09349,"tie","tie"
"20260906-124502","all cores","non-zero byte","3K",3072,9.8173,9.8410,14.2431,0.99771,1.52500,0.16269,0.08193,"tie","we win"
"20260906-124502","all cores","non-zero byte","4K",4096,15.5062,15.5147,16.2126,0.99871,1.06722,0.09902,0.08389,"tie","tie"
"20260906-124502","all cores","non-zero byte","8K",8192,102.2100,102.6498,106.1548,0.99765,1.06691,0.10240,0.09794,"tie","tie"
"20260906-124502","all cores","non-zero byte","16K",16384,208.8460,204.6829,206.4710,1.01933,1.03241,0.06508,0.07915,"tie","tie"
"20260906-124502","all cores","non-zero byte","64K",65536,819.8275,823.2856,834.4935,1.00239,1.03782,0.07591,0.07203,"tie","tie"
"20260906-124502","all cores","natural (control)","1",1,0.2357,0.2474,1.3888,0.93857,5.90500,0.19874,0.17364,"tie","we win"
"20260906-124502","all cores","natural (control)","3",3,0.2424,0.2406,1.5860,1.01090,6.60452,0.03829,0.07659,"tie","we win"
