run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124407","all cores","aligned 16","4080",4080,14.6010,14.5076,15.7451,1.00096,1.09873,0.05429,0.03846,"tie","we win"
"20260906-124407","all cores","aligned 8","8",8,0.2352,0.2360,1.7533,1.00225,7.46899,0.02637,0.04608,"tie","we win"
"20260906-124407","all cores","aligned 8","24",24,0.3908,0.3831,1.5362,1.08405,4.04084,0.21867,0.12429,"tie","we win"
"20260906-124407","all cores","aligned 8","40",40,0.5818,0.5824,1.3690,1.00157,2.37206,0.04358,0.06204,"tie","we win"
"20260906-124407","all cores","aligned 8","56",56,0.9743,0.9684,1.3591,1.00022,1.41497,0.02515,0.04647,"tie","we win"
"20260906-124407","all cores","aligned 8","88",88,1.1445,1.1469,1.5281,0.99951,1.34364,0.02312,0.05789,"tie","we win"
"20260906-124407","all cores","aligned 8","120",120,1.3408,1.3423,1.5266,0.99857,1.14173,0.01927,0.04241,"tie","we win"
"20260906-124407","all cores","aligned 8","152",152,1.5432,1.5388,2.5166,1.00106,1.64377,0.02608,0.04000,"tie","we win"
"20260906-124407","all cores","aligned 8","248",248,2.3634,2.3213,2.4996,1.01593,1.08811,0.05547,0.04287,"tie","we win"
"20260906-124407","all cores","aligned 8","504",504,3.8810,3.8596,3.5967,1.00601,0.94401,0.04129,0.13659,"tie","libc wins"
"20260906-124407","all cores","aligned 8","1016",1016,4.9392,4.9268,4.6154,1.00122,0.95365,0.04417,0.07207,"tie","libc wins"
"20260906-124407","all cores","aligned 8","4088",4088,15.5698,15.4979,15.9108,0.99644,1.03404,0.06462,0.05636,"tie","tie"
"20260906-124407","all cores","natural (control)","1",1,0.1893,0.1943,1.8913,0.88554,10.14527,0.33217,0.14172,"tie","we win"
"20260906-124407","all cores","natural (control)","3",3,0.3106,0.3132,1.5402,1.03258,4.90813,0.34663,0.11767,"tie","we win"
"20260906-124407","all cores","natural (control)","7",7,0.3029,0.3057,1.7235,0.99022,5.71433,0.02384,0.03074,"tie","we win"
"20260906-124407","all cores","natural (control)","8",8,0.2331,0.2325,1.7296,1.00508,7.46184,0.03421,0.03970,"tie","we win"
"20260906-124407","all cores","natural (control)","9",9,0.3365,0.3170,1.5798,1.05125,4.99465,0.14507,0.30848,"tie","we win"
"20260906-124407","all cores","natural (control)","15",15,0.3098,0.3120,1.7805,0.99813,5.73966,0.03678,0.05167,"tie","we win"
"20260906-124407","all cores","natural (control)","16",16,0.3858,0.3856,1.5487,0.99997,4.03878,0.03453,0.04257,"tie","we win"
"20260906-124407","all cores","natural (control)","17",17,0.3939,0.3845,1.5379,1.07109,4.00080,0.15221,0.10537,"tie","we win"
"20260906-124407","all cores","natural (control)","24",24,0.3837,0.3829,1.5569,1.00035,4.10397,0.06782,0.04104,"tie","we win"
"20260906-124407","all cores","natural (control)","31",31,0.3818,0.3822,1.5450,0.99560,4.08480,0.02940,0.02979,"tie","we win"
"20260906-124407","all cores","natural (control)","32",32,0.3875,0.3875,1.3697,1.00164,3.53845,0.03724,0.05955,"tie","we win"
"20260906-124407","all cores","natural (control)","33",33,0.5737,0.5737,1.3496,1.00124,2.35772,0.03106,0.02420,"tie","we win"
"20260906-124407","all cores","natural (control)","47",47,0.7611,0.7622,1.3400,0.99766,1.76755,0.01383,0.01305,"tie","we win"
"20260906-124407","all cores","natural (control)","50",50,0.9729,0.9694,1.3707,0.99902,1.41924,0.02258,0.06246,"tie","we win"
"20260906-124407","all cores","natural (control)","63",63,0.9547,0.9573,1.3453,0.99820,1.41341,0.02376,0.02821,"tie","we win"
"20260906-124407","all cores","natural (control)","64",64,0.9678,0.9651,1.1569,0.99749,1.22029,0.03896,0.06556,"tie","we win"
"20260906-124407","all cores","natural (control)","65",65,1.1451,1.1448,1.5182,0.98509,1.33246,0.06052,0.02581,"tie","we win"
"20260906-124407","all cores","natural (control)","100",100,1.5371,1.5399,1.5310,1.00360,1.01208,0.05635,0.04479,"tie","tie"
"20260906-124407","all cores","natural (control)","127",127,1.7240,1.7198,1.5258,1.00301,0.88580,0.02221,0.02289,"tie","libc wins"
"20260906-124407","all cores","natural (control)","128",128,1.7178,1.7210,1.5151,0.99960,0.88661,0.03016,0.02642,"tie","libc wins"
"20260906-124407","all cores","natural (control)","129",129,1.9157,1.8960,2.5077,1.00506,1.33636,0.05442,0.05430,"tie","we win"
"20260906-124407","all cores","natural (control)","200",200,2.1209,2.1145,2.4831,0.99461,1.17886,0.04642,0.04613,"tie","we win"
"20260906-124407","all cores","natural (control)","250",250,2.3381,2.3409,2.5090,1.00030,1.08429,0.04141,0.04611,"tie","we win"
"20260906-124407","all cores","natural (control)","255",255,2.7314,2.7268,2.5138,1.01261,0.93390,0.06485,0.03328,"tie","libc wins"
"20260906-124407","all cores","natural (control)","256",256,2.7106,2.6983,2.4986,1.01168,0.93758,0.04998,0.03932,"tie","libc wins"
"20260906-124407","all cores","natural (control)","257",257,2.6912,2.6836,2.6464,1.00148,0.99875,0.03715,0.07855,"tie","tie"
"20260906-124407","all cores","natural (control)","500",500,4.1594,4.1589,3.3697,1.00175,0.82259,0.04857,0.07954,"tie","libc wins"
"20260906-124407","all cores","natural (control)","1000",1000,5.0277,4.9855,4.8109,1.00207,0.96567,0.04609,0.07803,"tie","tie"
"20260906-124407","all cores","natural (control)","1023",1023,5.3827,5.2397,4.7862,1.02882,0.91555,0.05032,0.05275,"tie","libc wins"
"20260906-124407","all cores","natural (control)","1K",1024,5.6463,5.6216,4.8173,1.01601,0.87806,0.08358,0.09571,"tie","libc wins"
"20260906-124407","all cores","natural (control)","1025",1025,5.2195,5.1355,4.8177,1.01294,0.94981,0.06001,0.08408,"tie","tie"
"20260906-124407","all cores","natural (control)","2047",2047,7.7105,7.6354,8.9151,1.00282,1.19581,0.07860,0.09482,"tie","we win"
"20260906-124407","all cores","natural (control)","4095",4095,15.4760,15.2757,15.6584,1.00629,1.02319,0.03553,0.03501,"tie","tie"
"20260906-124407","all cores","natural (control)","4K",4096,15.7421,15.5968,16.0061,1.00011,1.03575,0.05658,0.06897,"tie","tie"
"20260906-124407","all cores","natural (control)","4097",4097,14.6175,14.5915,15.6510,0.99965,1.08753,0.06320,0.03786,"tie","we win"
"20260906-124407","all cores","scattered","32",32,10.1625,10.3303,13.5201,0.98893,1.41639,0.16037,0.35089,"tie","we win"
"20260906-124407","all cores","scattered","64",64,10.7001,10.5712,12.7233,1.00029,1.24709,0.17871,0.42596,"tie","we win"
"20260906-124407","all cores","scattered","96",96,12.4017,11.9057,14.8445,1.04827,1.29925,0.14837,0.28081,"tie","we win"
"20260906-124407","all cores","scattered","128",128,11.9884,12.2140,15.7193,1.01747,1.36093,0.16318,0.21627,"tie","we win"
"20260906-124407","all cores","scattered","160",160,15.3718,15.2950,16.0205,1.00635,1.08953,0.12773,0.17828,"tie","tie"
"20260906-124407","all cores","scattered","192",192,16.8950,16.4656,16.7371,1.01565,1.03341,0.14248,0.18812,"tie","tie"
"20260906-124407","all cores","scattered","224",224,19.3911,19.2210,18.4726,1.01844,1.00571,0.17973,0.14641,"tie","tie"
"20260906-124407","all cores","scattered","256",256,21.0865,21.1132,20.7635,0.97977,1.01056,0.15013,0.18845,"tie","tie"
